awk -F"\t" '$1!=""&&$2!=""&&$3!=""' cgd_gene_names.tab | awk '{print $2 "\t" $9}'
C3_03580C_A	GTT13	CAWG_02638|orf19.356|C3_03580C_B|C3_03580C|orf19.7989|IPF27039.1|IPF1491.1|Contig4-3090_0050|orf6.7240|CaO19.7989|CaO19.356	ORF|Uncharacterized	Ca22chr3A_C_albicans_SC5314	760178	759278	C	CAL0000173921		Putative glutathione S-transferase; opaque-specific transcript; repressed by alpha pheromone in SpiderM medium; Spider biofilm induced	2014-06-24	2016-06-22				N	
C2_05660W_A	PNG2	CAWG_04312|orf19.6877|C2_05660W_B|C2_05660W|orf19.14166|IPF20218.1|IPF19801.1|Contig4-3086_0035|orf6.7141|CA4566|CaO19.14166|CaO19.6877|IPF19801	ORF|Verified	Ca22chr2A_C_albicans_SC5314	1156982	1159933	W	CAL0000173925		Putative peptide:N-glycanase; gene has variable numbers of 12-bp repeats; induced by caspofungin, ciclopirox olamine, ketoconazole or hypoxia; gene of core caspofungin response; Hap43-induced; Spider biofilm induced	2014-06-24	2016-01-21			2005-10-10	Y	
C7_02860C_A		orf19.5175|C7_02860C_B|C7_02860C|orf19.12642|IPF22097.1|IPF5404.2|Contig4-3092_0052|orf6.6961|CA4420|CaJ7.0325|CaO19.5175|SSM4|CaO19.12642|CaO19_5175|CaJ7_0325	ORF|Uncharacterized	Ca22chr7A_C_albicans_SC5314	621030	617611	C	CAL0000173927		Ortholog(s) have ubiquitin protein ligase activity and role in ER-associated ubiquitin-dependent protein catabolic process	2014-06-24	2016-01-21				N	SSM4
C3_05180W_A	RHB1	CAWG_02830|orf19.5994|C3_05180W_B|C3_05180W|orf19.13415|IPF21266.1|IPF4842.1|Contig4-2771_0004|orf6.9043|CA6070|CaO19.5994|CaO19.13415|IPF4842	ORF|Verified	Ca22chr3A_C_albicans_SC5314	1126468	1127022	W	CAL0000173935		Putative small G protein from the Ras superfamily involved in cell wall integrity and control of filamentous growth under nitrogen starvation	2014-06-24	2016-06-22				N	RHB1
C7_04210C_A		CAWG_05750|orf19.7152|C7_04210C_B|C7_04210C|IPF1943.2|Contig4-3083_0008|Contig4-3083_0009|orf6.8052|CA5290|CaJ7.0487|CYS4|CaO19.7152|CaJ7_0487|CaO19_7152|IPF1943	ORF|Uncharacterized	Ca22chr7A_C_albicans_SC5314	908649	907552	C	CAL0000173937		Protein similar to Aspergillus CYSK O-acetylserine sulfhydrylase, suggesting that C. albicans uses an O-acetyl-serine (OAS) pathway of sulfur assimilation; upregulated in biofilm; protein level decreases in stationary phase cultures	2014-06-24	2016-01-21				N	
C3_03780W_A		orf19.6940|C3_03780W_B|C3_03780W|IPF20204.1|IPF27613.1|Contig4-3085_0009|orf6.7326|CaO19.14202|CaO19.6940	ORF|Uncharacterized	Ca22chr3A_C_albicans_SC5314	793920	794360	W	CAL0000173941		Protein of unknown function	2014-06-24	2016-06-22				N	
C5_03540C_A	RPS25B	CAWG_04727|orf19.6663|C5_03540C_B|C5_03540C|IPF2288.1|RPS25|Contig4-3038_0012|orf6.6772|CA4269|CaO19.6663	ORF|Uncharacterized	Ca22chr5A_C_albicans_SC5314	793743	793426	C	CAL0000173943		Ribosomal protein; macrophage/pseudohyphal-induced after 16 h; repressed upon phagocytosis by murine macrophage; transcript positively regulated by Tbf1; 5'-UTR intron; Hap43-induced; Spider biofilm repressed	2014-06-24	2016-01-21				N	RPS25B
C1_11000C_A		CAWG_00334|IPF13782.2|Contig4-2539_0003|orf6.5536|CA3301|CaO19.9850|CaO19.2314|IPF13782|orf19.2314|C1_11000C_B|C1_11000C|orf19.9850|IPF25009.1	ORF|Verified	Ca22chr1A_C_albicans_SC5314	2426756	2426349	C	CAL0000173953		Protein with a role in nucleolar integrity and processing of pre-rRNA; mutation confers hypersensitivity to 5-fluorocytosine (5-FC), 5-fluorouracil (5-FU), and tubercidin (7-deazaadenosine); Hap43-induced; Spider biofilm induced	2014-06-24	2016-01-21				N	CGR1
C6_02620C_A		CAWG_05106|orf19.5532|C6_02620C_B|C6_02620C|orf19.12978|IPF21634.1|IPF4340.1|orf6.1547|CaO19.12978|CaO19.5532	ORF|Uncharacterized	Ca22chr6A_C_albicans_SC5314	534433	534068	C	CAL0000173955		Protein of unknown function; Spider biofilm induced	2014-06-24	2016-01-21				N	
C6_01680C_A		CAWG_05199|orf19.3418|C6_01680C_B|C6_01680C|orf19.10922|IPF8889.2|IPF14736.3|Contig4-2903_0009|orf6.2731|orf6.6107|CA3758|CaO19.3418|AFP98|IPF8889	ORF|Uncharacterized	Ca22chr6A_C_albicans_SC5314	353787	352702	C	CAL0000173959		Ortholog(s) have endoplasmic reticulum, fungal-type vacuole localization	2014-06-24	2016-01-21				N	
C3_07440W_A	TPI1	CAWG_03053|orf19.6745|C3_07440W_B|C3_07440W|orf19.14037|TPIS|IPF20404.1|IPF3499.1|Contig4-3006_0013|orf6.8886|CA5950|CaO19.14037|CaO19.6745	ORF|Verified	Ca22chr3A_C_albicans_SC5314	1701963	1702709	W	CAL0000173961		Triose-phosphate isomerase; antigenic in mouse/human; mutation affects filamentation; macrophage-repressed; protein in exponential and stationary growth phase yeast; possibly essential; flow model biofilm induced; Spider biofilm repressed	2014-06-24	2016-06-22				N	TPI1
C5_00570W_A		CAWG_04451|orf19.932|C5_00570W_B|C5_00570W|orf19.8547|IPF18993.1|IPF26353.1|IPF6532.2|Contig4-2777_0010|orf6.8181|orf6.1319|CA5390|orf19.2226|DRS24|CaO19.932|DNF2|CaO19.8547	ORF|Uncharacterized	Ca22chr5A_C_albicans_SC5314	125110	130260	W	CAL0000173967	CAL0006220	Putative aminophospholipid translocase (flippase); merged with orf19.2226 in Assembly 21; possibly an essential gene, disruptants not obtained by UAU1 method	2014-06-24	2014-06-24				N	DNF1
CR_04450C_A		CAWG_01780|orf19.536|CR_04450C_B|CR_04450C|orf19.8169|IPF26763.1|IPF4296.2|Contig4-2736_0011|orf6.6748|CA4247|CaO19.8169|TAF5|CaO19.536|TAF90	ORF|Uncharacterized	Ca22chrRA_C_albicans_SC5314	986580	984184	C	CAL0000173973		Ortholog(s) have chromatin binding, protein complex scaffold, ubiquitin binding activity and role in histone acetylation, transcription from RNA polymerase II promoter	2014-06-24	2016-01-21				N	TAF5
C5_02590C_A		CAWG_04641|orf19.4273|C5_02590C_B|C5_02590C|orf19.11749|IPF22931.1|IPF16549.2|Contig4-2872_0001|orf6.3484|CA1819|CaO19.11749|CaO19.4273|IPF16549	ORF|Uncharacterized	Ca22chr5A_C_albicans_SC5314	579308	576552	C	CAL0000173980		Putative mitochondrial membrane protein; ortholog of S. cerevisiae Sls1; coordinates expression of mitochondrially-encoded genes; Hap43-induced	2014-06-24	2014-06-24				N	SLS1
C3_06560W_A		CAWG_02966|orf19.7445|C3_06560W_B|C3_06560W|IPF2878.1|Contig4-2403_0005|orf6.8605|CA5735|VID24|CaO19.7445|IPF2878	ORF|Uncharacterized	Ca22chr3A_C_albicans_SC5314	1496301	1497788	W	CAL0000173988		Ortholog of S.c. Vid24; a peripheral membrane protein located at Vid (vacuole import and degradation) vesicles; regulated by Sef1, Sfu1, and Hap43; Spider biofilm induced	2014-06-24	2016-06-22				N	VID24
